"TABLE_NAME","COLUMN_NAME","NULLABLE","DATA_TYPE","DATA_DEFAULT","DATA_LENGTH","DATA_PRECISION"
"DATABASECHANGELOG","ID","N","VARCHAR2","None","255","None"
"DATABASECHANGELOG","AUTHOR","N","VARCHAR2","None","255","None"
"DATABASECHANGELOG","FILENAME","N","VARCHAR2","None","255","None"
"DATABASECHANGELOG","DATEEXECUTED","N","TIMESTAMP(6)","None","11","None"
"DATABASECHANGELOG","ORDEREXECUTED","N","NUMBER","None","22","10"
"DATABASECHANGELOG","EXECTYPE","N","VARCHAR2","None","10","None"
"DATABASECHANGELOG","MD5SUM","Y","VARCHAR2","None","35","None"
"DATABASECHANGELOG","DESCRIPTION","Y","VARCHAR2","None","255","None"
"DATABASECHANGELOG","COMMENTS","Y","VARCHAR2","None","255","None"
"DATABASECHANGELOG","TAG","Y","VARCHAR2","None","255","None"
"DATABASECHANGELOG","LIQUIBASE","Y","VARCHAR2","None","20","None"
"DATABASECHANGELOG","CONTEXTS","Y","VARCHAR2","None","255","None"
"DATABASECHANGELOG","LABELS","Y","VARCHAR2","None","255","None"
"DATABASECHANGELOGLOCK","ID","N","NUMBER","None","22","10"
"DATABASECHANGELOGLOCK","LOCKED","N","NUMBER","None","22","1"
"DATABASECHANGELOGLOCK","LOCKGRANTED","Y","TIMESTAMP(6)","None","11","None"
"DATABASECHANGELOGLOCK","LOCKEDBY","Y","VARCHAR2","None","255","None"
"RIG_MATRIX_LCD","RIG_TIR_ID_SEQ","N","NUMBER","None","22","10"
"RIG_MATRIX_LCD","T_ID","N","NUMBER","None","22","10"
"RIG_MATRIX_LCD","C_ID","N","NUMBER","None","22","10"
"RIG_MATRIX_LCD","RH_ID","N","NUMBER","None","22","10"
"RIG_MATRIX_LCD","M_ID","N","NUMBER","None","22","10"
"RIG_MATRIX_LCD","S_ID","N","NUMBER","None","22","10"
"RIG_MATRIX_LCD","C_FR_DATE","N","DATE","None","7","None"
"RIG_MATRIX_LCD","C_TO_DATE","N","DATE","None","7","None"
"RIG_MATRIX_LCD","TL_FR_DATE","N","DATE","None","7","None"
"RIG_MATRIX_LCD","TL_TO_DATE","N","DATE","None","7","None"
"RIG_MATRIX_LCD","M_FR_DATE","N","DATE","None","7","None"
"RIG_MATRIX_LCD","M_TO_DATE","N","DATE","None","7","None"
"RIG_MATRIX_LCD","S_FR_DATE","N","DATE","None","7","None"
"RIG_MATRIX_LCD","S_TO_DATE","N","DATE","None","7","None"
"RIG_MATRIX_LCD","M_QTY","N","NUMBER","None","22","10"
"RIG_MATRIX_LCD","S_QTY","N","NUMBER","None","22","10"
"RIG_MATRIX_LCD","T_GRP_ID","N","NUMBER","None","22","10"
"RIG_MATRIX_LCD","L_GRP_ID","N","NUMBER","None","22","10"
"RIG_MATRIX_LCD","M_GRP_ID","N","NUMBER","None","22","10"
"RIG_MATRIX_LCD","S_GRP_ID","N","NUMBER","None","22","10"
"RIG_TITLE_RIGHTS","ID_SEQ","N","NUMBER","None","22","None"
"RIG_TITLE_RIGHTS","ROW_TYPE","N","VARCHAR2","None","30","None"
"RIG_TITLE_RIGHTS","SYN_REG_ID_SEQ","Y","NUMBER","None","22","None"
"RIG_TITLE_RIGHTS","RIG_RTP_ID_SEQ","Y","NUMBER","None","22","None"
"RIG_TITLE_RIGHTS","CREATED_BY","N","NUMBER","None","22","15"
"RIG_TITLE_RIGHTS","CREATION_DATE","N","DATE","None","7","None"
"RIG_TITLE_RIGHTS","LAST_UPDATED_BY","Y","NUMBER","None","22","15"
"RIG_TITLE_RIGHTS","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIG_TITLE_RIGHTS","RIG_CSE_ID_SEQ","Y","NUMBER","None","22","None"
"RIG_TITLE_RIGHTS","RIGHT_QUALIFIER","N","VARCHAR2","None","30","None"
"RIG_TITLE_RIGHTS","RIGHT_STATUS","N","VARCHAR2","None","30","None"
"RIG_TITLE_RIGHTS","IND_MATRIX_LCD_CHANGED","N","VARCHAR2","None","1","None"
"RIG_TITLE_RIGHTS","SYN_REG_ID_SEQ_PROJECT","Y","NUMBER","None","22","None"
"RIG_TITLE_RIGHTS","NB_PROD_CONTRACT","Y","NUMBER","0","22","None"
"RIG_TITLE_RIGHTS","RIGHT_COMPLETED_DATE","Y","DATE","None","7","None"
"RIG_TITLE_RIGHTS","INITIAL_RIGHT_COMPLETED_DATE","Y","DATE","None","7","None"
"RIG_TITLE_STREAMING_CACHE","ID_SEQ","Y","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_CACHE","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_CACHE","VALID_FROM_DATE","N","DATE","None","7","None"
"RIG_TITLE_STREAMING_CACHE","VALID_TO_DATE","N","DATE","None","7","None"
"RIG_TITLE_STREAMING_CACHE","TERRITORY_CODE","N","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_CACHE","LANGUAGE_CODE","N","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_CACHE","MARKET_CODE","N","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_CACHE","SUPPORT_CODE","N","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_CACHE","SALE_QUALIFIER","N","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_CACHE","SYN_REG_ID_SEQ_IR","Y","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_CACHE","SYN_REG_ID_SEQ_OR","Y","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_CACHE","VALID_IND","N","VARCHAR2","None","1","None"
"RIG_TITLE_STREAMING_CACHE","VALID_MSG","Y","VARCHAR2","None","2000","None"
"RIG_TITLE_STREAMING_CACHE","NB_REQUEST","N","NUMBER","0 ","22","None"
"RIG_TITLE_STREAMING_CACHE_OLD","ID_SEQ","Y","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_CACHE_OLD","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_CACHE_OLD","VALID_FROM_DATE","N","DATE","None","7","None"
"RIG_TITLE_STREAMING_CACHE_OLD","VALID_TO_DATE","N","DATE","None","7","None"
"RIG_TITLE_STREAMING_CACHE_OLD","TERRITORY_CODE","N","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_CACHE_OLD","LANGUAGE_CODE","N","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_CACHE_OLD","MARKET_CODE","N","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_CACHE_OLD","SUPPORT_CODE","N","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_CACHE_OLD","SALE_QUALIFIER","N","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_CACHE_OLD","SYN_REG_ID_SEQ_IR","Y","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_CACHE_OLD","SYN_REG_ID_SEQ_OR","Y","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_CACHE_OLD","VALID_IND","N","VARCHAR2","None","1","None"
"RIG_TITLE_STREAMING_CACHE_OLD","VALID_MSG","Y","VARCHAR2","None","2000","None"
"RIG_TITLE_STREAMING_CACHE_OLD","NB_REQUEST","N","NUMBER","0 ","22","None"
"RIG_TITLE_STREAMING_CACHE_OLD","PURGE_DATE","N","DATE","None","7","None"
"RIG_TITLE_STREAMING_LOG","ID_SEQ","N","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_LOG","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_LOG","START_DATE","N","DATE","None","7","None"
"RIG_TITLE_STREAMING_LOG","END_DATE","N","DATE","None","7","None"
"RIG_TITLE_STREAMING_LOG","TERRITORY_CODE","Y","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_LOG","LANGUAGE_CODE","Y","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_LOG","MARKET_CODE","Y","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_LOG","SUPPORT_CODE","Y","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_LOG","SALE_QUALIFIER","Y","VARCHAR2","None","30","None"
"RIG_TITLE_STREAMING_LOG","SYN_REG_ID_SEQ_IR","Y","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_LOG","SYN_REG_ID_SEQ_OR","Y","NUMBER","None","22","None"
"RIG_TITLE_STREAMING_LOG","VALID_IND","N","VARCHAR2","None","1","None"
"RIG_TITLE_STREAMING_LOG","VALID_MSG","Y","VARCHAR2","None","2000","None"
"RIG_TITLE_STREAMING_LOG","CACHE_USED","N","VARCHAR2","'N' ","1","None"
"RIG_TREE_RIGHTS","ID_SEQ","N","NUMBER","None","22","None"
"RIG_TREE_RIGHTS","ID_SEQ_PARENT","Y","NUMBER","None","22","None"
"RIG_TREE_RIGHTS","RIG_TIR_ID_SEQ","Y","NUMBER","None","22","None"
"RIG_TREE_RIGHTS","RIG_TST_ID_SEQ","Y","NUMBER","None","22","None"
"RIG_TREE_RIGHTS","NODE_ID_SEQ","Y","NUMBER","None","22","None"
"RIG_TREE_RIGHTS","CREATED_BY","Y","NUMBER","None","22","15"
"RIG_TREE_RIGHTS","CREATION_DATE","Y","DATE","None","7","None"
"RIG_TREE_RIGHTS","LAST_UPDATED_BY","Y","NUMBER","None","22","15"
"RIG_TREE_RIGHTS","LAST_UPDATE_DATE","Y","DATE","None","7","None"
