"OWNER","VIEW_NAME","COLUMN_NAME","NULLABLE","DATA_TYPE","DATA_DEFAULT","DATA_LENGTH","DATA_PRECISION"
"RIGHTS","GTD_QUERY_V","GTD_SIT_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTD_QUERY_V","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTD_QUERY_V","TITLE","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","FILM_DESC","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","FILM","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","PHOTO","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","EXTRACT","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","SALE_CONSUMER","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","DATE_CONSUMER","Y","DATE","None","7","None"
"RIGHTS","GTD_QUERY_V","SALE_INSTITUTIONAL","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","DATE_INSTITUTIONAL","Y","DATE","None","7","None"
"RIGHTS","GTD_QUERY_V","TYPE_OBJECT","N","VARCHAR2","None","30","None"
"RIGHTS","GTD_QUERY_V","TYPE_SOURCE","N","VARCHAR2","None","30","None"
"RIGHTS","GTD_QUERY_V","INVENTORY_NO","Y","NUMBER","None","22","None"
"RIGHTS","GTD_QUERY_V","PROJECT_NO","Y","VARCHAR2","None","25","None"
"RIGHTS","GTD_QUERY_V","TITLE_CODE","Y","VARCHAR2","None","11","None"
"RIGHTS","GTD_QUERY_V","SORT_KEY_TITLE","N","VARCHAR2","None","60","None"
"RIGHTS","GTD_QUERY_V","FINAL_TITLE","Y","VARCHAR2","None","240","None"
"RIGHTS","GTD_QUERY_V","WORKING_TITLE","Y","VARCHAR2","None","240","None"
"RIGHTS","GTD_QUERY_V","NFB_PRODUCTION","N","VARCHAR2","None","1","None"
"RIGHTS","GTD_QUERY_V","PRODUCTION_YEAR","Y","NUMBER","None","22","None"
"RIGHTS","GTD_QUERY_V","TITLE_RUNNING_TIME","Y","VARCHAR2","None","6","None"
"RIGHTS","GTD_QUERY_V","TITLE_FOOTAGE","Y","VARCHAR2","None","6","None"
"RIGHTS","GTD_QUERY_V","SYN_LAN_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","GTD_QUERY_V","NOTES","Y","VARCHAR2","None","4000","None"
"RIGHTS","GTD_QUERY_V","MSN","Y","NUMBER","None","22","22"
"RIGHTS","GTP_QUERY_V","GTD_SIT_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTP_QUERY_V","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTP_QUERY_V","TITLE","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","FILM_DESC","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","FILM","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","PHOTO","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","EXTRACT","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","SALE_CONSUMER","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","DATE_CONSUMER","Y","DATE","None","7","None"
"RIGHTS","GTP_QUERY_V","SALE_INSTITUTIONAL","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","DATE_INSTITUTIONAL","Y","DATE","None","7","None"
"RIGHTS","GTP_QUERY_V","TYPE_OBJECT","N","VARCHAR2","None","30","None"
"RIGHTS","GTP_QUERY_V","TYPE_SOURCE","N","VARCHAR2","None","30","None"
"RIGHTS","GTP_QUERY_V","INVENTORY_NO","Y","NUMBER","None","22","None"
"RIGHTS","GTP_QUERY_V","PROJECT_NO","Y","VARCHAR2","None","25","None"
"RIGHTS","GTP_QUERY_V","TITLE_CODE","Y","VARCHAR2","None","11","None"
"RIGHTS","GTP_QUERY_V","SORT_KEY_TITLE","N","VARCHAR2","None","60","None"
"RIGHTS","GTP_QUERY_V","FINAL_TITLE","Y","VARCHAR2","None","240","None"
"RIGHTS","GTP_QUERY_V","WORKING_TITLE","Y","VARCHAR2","None","240","None"
"RIGHTS","GTP_QUERY_V","NFB_PRODUCTION","N","VARCHAR2","None","1","None"
"RIGHTS","GTP_QUERY_V","PRODUCTION_YEAR","Y","NUMBER","None","22","None"
"RIGHTS","GTP_QUERY_V","TITLE_RUNNING_TIME","Y","VARCHAR2","None","6","None"
"RIGHTS","GTP_QUERY_V","TITLE_FOOTAGE","Y","VARCHAR2","None","6","None"
"RIGHTS","GTP_QUERY_V","SYN_LAN_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","GTP_QUERY_V","NOTES","Y","VARCHAR2","None","4000","None"
"RIGHTS","GTP_QUERY_V","MSN","Y","NUMBER","None","22","22"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","GTD_SIT_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","FILM_DESC","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","FILM","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","PHOTO","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","EXTRACT","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","SALE_CONSUMER","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","DATE_CONSUMER","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","SALE_INSTITUTIONAL","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","DATE_INSTITUTIONAL","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","CREATED_BY","Y","NUMBER","None","22","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","CREATION_DATE","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","LAST_UPDATED_BY","Y","NUMBER","None","22","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","TITLE","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_V","GTD_SIT_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTP_SITE_TITLE_V","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTP_SITE_TITLE_V","FILM_DESC","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_V","FILM","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_V","PHOTO","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_V","EXTRACT","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_V","SALE_CONSUMER","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_V","DATE_CONSUMER","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE_V","SALE_INSTITUTIONAL","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE_V","DATE_INSTITUTIONAL","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE_V","CREATED_BY","Y","NUMBER","None","22","None"
"RIGHTS","GTP_SITE_TITLE_V","CREATION_DATE","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE_V","LAST_UPDATED_BY","Y","NUMBER","None","22","None"
"RIGHTS","GTP_SITE_TITLE_V","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE_V","TITLE","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","GTD_SIT_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","FILM_DESC","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","FILM","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","PHOTO","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","EXTRACT","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","SALE_CONSUMER","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","DATE_CONSUMER","Y","DATE","None","7","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","SALE_INSTITUTIONAL","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","DATE_INSTITUTIONAL","Y","DATE","None","7","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","CREATED_BY","Y","NUMBER","None","22","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","CREATION_DATE","Y","DATE","None","7","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","LAST_UPDATED_BY","Y","NUMBER","None","22","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","TITLE","Y","VARCHAR2","None","2","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","TITLE_NAME","Y","VARCHAR2","None","240","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","SYN_REG_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","SYN_REG_ID_SEQ_ORIGINAL","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIGHT_HOLDER_NAME","Y","VARCHAR2","None","240","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_VEN_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","CONTRACT_ID","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","CONTRACT_NO","Y","VARCHAR2","None","20","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_CON_START_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_CON_END_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_CON_LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","T_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","SYN_TER_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_STE_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","SYN_TER_CODE","Y","VARCHAR2","None","30","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","TYPE_TERRITORY","Y","VARCHAR2","None","30","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","SYN_TER_DESC","Y","VARCHAR2","None","256","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","SYN_LAN_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","SYN_LAN_CODE","Y","VARCHAR2","None","10","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_TER_START_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_TER_END_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_TER_LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","M_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_MAR_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_MAR_DESC","Y","VARCHAR2","None","101","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_MAR_CODE","Y","VARCHAR2","None","15","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_MAR_START_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_MAR_END_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIG_MAR_LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_TYPE_V","ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_TYPE_V","CODE","N","VARCHAR2","None","20","None"
"RIGHTS","RIG_CONTRACT_TYPE_V","START_DATE","N","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_TYPE_V","END_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_TYPE_V","REPORT_NAME_ENG","Y","VARCHAR2","None","8","None"
"RIGHTS","RIG_CONTRACT_TYPE_V","REPORT_NAME_FRE","Y","VARCHAR2","None","8","None"
"RIGHTS","RIG_CONTRACT_TYPE_V","DESCRIPTION","Y","VARCHAR2","None","255","None"
"RIGHTS","RIG_DOM_SALE_QUALIFIER_V","ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_DOM_SALE_QUALIFIER_V","CODE","N","VARCHAR2","None","50","None"
"RIGHTS","RIG_DOM_SALE_QUALIFIER_V","DESCRIPTION","N","VARCHAR2","None","255","None"
"RIGHTS","RIG_MARKET_V","ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_MARKET_V","CODE","N","VARCHAR2","None","30","None"
"RIGHTS","RIG_MARKET_V","START_DATE","N","DATE","None","7","None"
"RIGHTS","RIG_MARKET_V","END_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_MARKET_V","DESCRIPTION","Y","VARCHAR2","None","255","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","RIG_CON_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","RIG_CTP_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","CONTRACT_NO","N","NUMBER","None","22","15"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","AMENDMENT_NO","N","NUMBER","None","22","2"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","CONTRACT_STATUS","N","VARCHAR2","None","30","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","TOTAL_AMOUNT","N","NUMBER","None","22","15"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","TOTAL_AMOUNT_CAD","N","NUMBER","None","22","15"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","CURR_CODE","N","VARCHAR2","None","15","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","SIGNED_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","RIG_TIR_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","RIG_LTI_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","ADVANCE_AMT","N","NUMBER","None","22","10"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","RIG_LSQ_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","RIG_LSQ_NODE_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","SALE_TYPE","N","VARCHAR2","None","30","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","START_DATE","N","DATE","None","7","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","END_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","DATE_VALIDATED","Y","DATE","None","7","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","DATE_RESERVED","Y","DATE","None","7","None"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","NB_DAYS_RESERVED","Y","NUMBER","None","22","10"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","DATE_RELEASED","Y","DATE","None","7","None"
"RIGHTS","RIG_OR_MATRIX_V","RIG_LSQ_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_OR_MATRIX_V","T_ID","N","NUMBER","None","22","7"
"RIGHTS","RIG_OR_MATRIX_V","L_ID","N","NUMBER","None","22","7"
"RIGHTS","RIG_OR_MATRIX_V","M_ID","N","NUMBER","None","22","7"
"RIGHTS","RIG_OR_MATRIX_V","S_ID","N","NUMBER","None","22","7"
"RIGHTS","RIG_OR_MATRIX_V","S_QTY","Y","NUMBER","None","22","None"
"RIGHTS","RIG_PARTENAIRE_V","RIGHT_HOLDER_NAME","Y","VARCHAR2","None","240","None"
"RIGHTS","RIG_PARTENAIRE_V","RIG_VEN_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_PART_RELATION_V","SEQ","Y","CHAR","None","1","None"
"RIGHTS","RIG_PART_RELATION_V","SYN_REG_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_PART_RELATION_V","TYPE_RELATION","Y","VARCHAR2","None","30","None"
"RIGHTS","RIG_PART_RELATION_V","SYN_REG_ID_SEQ_REF","Y","NUMBER","None","22","None"
"RIGHTS","RIG_SALE_LEAF_LANG_V","RIG_TRI_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_SALE_LEAF_LANG_V","SYN_LAN_ID_SEQ","N","NUMBER","None","22","7"
"RIGHTS","RIG_SALE_LEAF_MARK_V","RIG_TRI_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_SALE_LEAF_MARK_V","RIG_MAR_ID_SEQ","N","NUMBER","None","22","7"
"RIGHTS","RIG_SALE_LEAF_SUPP_V","RIG_TRI_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_SALE_LEAF_SUPP_V","RIG_SUP_ID_SEQ","N","NUMBER","None","22","7"
"RIGHTS","RIG_SALE_LEAF_SUPP_V","QUANTITY","Y","NUMBER","None","22","9"
"RIGHTS","RIG_SALE_LEAF_TERR_V","RIG_TRI_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_SALE_LEAF_TERR_V","SYN_TER_ID_SEQ","N","NUMBER","None","22","7"
"RIGHTS","RIG_SUPPORT_V","ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_SUPPORT_V","CODE","N","VARCHAR2","None","30","None"
"RIGHTS","RIG_SUPPORT_V","START_DATE","N","DATE","None","7","None"
"RIGHTS","RIG_SUPPORT_V","END_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_SUPPORT_V","PRODUCT_CODE","Y","VARCHAR2","None","3","None"
"RIGHTS","RIG_SUPPORT_V","DESCRIPTION","Y","VARCHAR2","None","255","None"
"RIGHTS","RIG_TITLE_PARTENAIRE_V","TITLE_NAME","Y","VARCHAR2","None","240","None"
"RIGHTS","RIG_TITLE_PARTENAIRE_V","SYN_REG_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TITLE_RELATIONS_V","SEQ","Y","CHAR","None","1","None"
"RIGHTS","RIG_TITLE_RELATIONS_V","ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TITLE_RELATIONS_V","RIG_TIR_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TITLE_RELATIONS_V","SYN_REG_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TITLE_RELATIONS_V","TYPE_RELATION","Y","VARCHAR2","None","31","None"
"RIGHTS","RIG_TITLE_RELATIONS_V","SYN_REG_ID_SEQ_REF","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","ID_SEQ_PARENT","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","RIG_TIR_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","RIG_TST_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","NODE_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","RIG_CSE_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","RIG_CON_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","CUSTOMER_ID","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","CUSTOMER_SITE_ID","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","GST_NO","Y","VARCHAR2","None","30","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","CORPORATE_NO","Y","VARCHAR2","None","30","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","SIGN_NAME","N","VARCHAR2","None","60","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","SIGN_TITLE","Y","VARCHAR2","None","60","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","REPRESENTED_BY","N","VARCHAR2","None","60","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","UNDEF_IND","N","VARCHAR2","None","1","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","UNDEF_ADDRESS","Y","VARCHAR2","None","300","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","TEL_NO","Y","VARCHAR2","None","30","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","FAX_NO","Y","VARCHAR2","None","30","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","EMAIL","Y","VARCHAR2","None","100","None"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","BRANCH_CODE","N","VARCHAR2","None","30","None"
"RIGHTS","RIG_TREE_RIGHTS_V","ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_RIGHTS_V","ID_SEQ_PARENT","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_RIGHTS_V","RIG_TIR_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_RIGHTS_V","RIG_TST_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_RIGHTS_V","NODE_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_TREE_RIGHTS_V","RIG_LFT_ID_SEQ","Y","NUMBER","None","22","None"
